"","SCIENTIFIC_NAME","mean_SSI"
"441","Krascheninnikovia lanata",1.43284763629022
"442","Lactuca serriola",1.05009552301233
"443","Lamium amplexicaule",3.05843796002503
"444","Lappula occidentalis",1.56993899789289
"445","Lappula squarrosa",0.636578717949825
"446","Larix laricina",0.861537141045515
"447","Lathyrus ochroleucus",0.456479817784725
"448","Lathyrus venosus",1.11497575572658
"449","Lemna trisulca",0.513248243596359
"450","Lemna turionifera",0.284062034197799
"451","Lepidium densiflorum",0.745034073659986
"452","Lepidium ramosissimum",1.6373806050808
"456","Leymus innovatus",0.415760647282202
"457","Liatris punctata",1.83487811650851
"458","Lilium philadelphicum",0.927171967274055
"459","Limosella aquatica",1.69967317119759
"460","Linaria vulgaris",0.86066296582387
"461","Linnaea borealis",0.527437289044548
"462","Linum lewisii",0.828647897492833
"466","Listera cordata",0.886266474613333
"467","Lithospermum incisum",1.2074658202919
"468","Lithospermum ruderale",2.76671571686086
"473","Lonicera dioica",0.704074411547264
"474","Lonicera involucrata",0.496057982736059
"476","Lonicera villosa",0.877208297946478
"477","Lotus corniculatus",1.22630562312312
"479","Lupinus sericeus",2.74017540657184
"480","Luzula multiflora",2.14694235391739
"481","Luzula parviflora",0.686323077334413
"482","Lycopodium annotinum",0.70396529784477
"483","Lycopodium dendroideum",1.08217550308564
"484","Lycopodium lagopus",1.35795056141501
"485","Lycopus americanus",0.917150615009279
"486","Lycopus asper",0.674658683041037
"487","Lycopus uniflorus",0.74380847616613
"488","Lygodesmia juncea",1.73018900080414
"489","Lysimachia ciliata",1.9436506316151
"490","Lysimachia maritima",0.488817190507317
"491","Lysimachia thyrsiflora",0.86230182205525
"492","Maianthemum canadense",0.364882641048421
"494","Maianthemum stellatum",0.405114514168935
"495","Maianthemum trifolium",0.91345302236113
"496","Malaxis monophyllos",2.97872839045623
"498","Malva neglecta",1.9436506316151
"500","Matricaria chamomilla",1.29099444873581
"501","Matricaria discoidea",0.715763872493235
"503","Medicago lupulina",0.567259621565089
"504","Medicago sativa",0.812182555916373
"505","Melampyrum lineare",1.66475579339242
"506","Melilotus albus",0.590954925889276
"507","Melilotus officinalis",0.544893037003417
"508","Mentha arvensis",0.387331846195852
"510","Menyanthes trifoliata",0.925128893705467
"511","Mertensia paniculata",0.369153297850894
"512","Mitella nuda",0.611658570876679
"513","Mitella pentandra",2.69350344625807
"514","Moehringia lateriflora",0.75360294319471
"515","Monarda fistulosa",1.58816687510845
"516","Moneses uniflora",0.975284041264949
"517","Monolepis nuttalliana",0.841961318422475
"521","Muhlenbergia glomerata",2.43235599651457
"522","Muhlenbergia richardsonis",1.31360013261377
"523","Mulgedium pulchellum",0.457888372793431
"525","Myrica gale",1.73196313893032
"526","Myriophyllum sibiricum",0.420451277056834
"527","Myriophyllum verticillatum",0.763704571764072
"528","Najas flexilis",1.37905434649596
"529","Nassella viridula",0.636901645449959
"531","Neslia paniculata",1.74801474695025
"532","Nuphar variegata",0.89783191619482
"533","Nymphaea leibergii",2.49921756070625
"534","Nymphaea tetragona",3.03165768190445
"535","Oenothera biennis",1.22805034042769
"537","Oenothera suffrutescens",1.12359930585367
"539","Opuntia fragilis",2.79650757228834
"540","Opuntia polyacantha",1.49968678222192
"541","Orobanche fasciculata",2.00897273891735
"542","Orthilia secunda",0.620502674819553
"543","Orthocarpus luteus",1.9038514910124
"544","Oryzopsis asperifolia",1.51425105010582
"545","Osmorhiza depauperata",0.767479901960016
"547","Oxytropis campestris",0.79824629321165
"548","Oxytropis deflexa",2.23193366803766
"549","Oxytropis sericea",2.55910933944812
"550","Oxytropis splendens",1.96305536649642
"551","Packera cana",1.83999446158743
"554","Packera paupercula",1.11236338074475
"557","Parnassia palustris",0.752868093073339
"559","Pascopyrum smithii",0.419778739928918
"560","Pedicularis bracteosa",2.70904106331339
"561","Pedicularis groenlandica",0.853607243472798
"562","Pedicularis labradorica",1.15723295378669
"563","Pedicularis parviflora",0.946403267815525
"568","Penstemon gracilis",1.98372183927735
"570","Penstemon procerus",0.849917236209373
"571","Peritoma serrulata",1.92957044606118
"572","Persicaria amphibia",0.356690551520626
"573","Persicaria lapathifolia",0.876537291671301
"574","Persicaria maculosa",1.01941756442097
"575","Petasites frigidus",0.474423200630025
"577","Phacelia franklinii",2.8035984429722
"578","Phalaris arundinacea",0.573072605237002
"579","Phleum alpinum",2.68558815292698
"580","Phleum pratense",0.450785718797335
"581","Phlox hoodii",1.6528756265485
"582","Phragmites australis",1.45003112505965
"585","Picea glauca",0.474055346130667
"586","Picea mariana",0.836849243178297
"588","Pinus banksiana",1.07369215369432
"589","Pinus contorta",0.423396241822565
"590","Pinus X",2.29973188983141
"591","Piptatherum pungens",1.75562822278233
"592","Pisum sativum",2.35062315852485
"593","Plagiobothrys scouleri",1.13903048700853
"594","Plantago elongata",2.11643119817212
"595","Plantago eriopoda",1.98507807390714
"596","Plantago major",0.582514766187696
"597","Plantago patagonica",1.79727940353345
"599","Platanthera dilatata",1.37986976172559
"600","Platanthera huronensis",0.550699021816431
"601","Platanthera obtusata",1.30495900814558
"602","Platanthera orbiculata",1.38984182660621
"604","Poa arida",0.986793252130088
"605","Poa compressa",0.853651857575888
"608","Poa interior",1.11978728656467
"609","Poa palustris",0.299224838756196
"610","Poa pratensis",0.349494286695313
"611","Poa secunda",0.732818659652614
"612","Polemonium acutiflorum",1.05401495349279
"613","Polygonum aviculare",0.703638685702131
"614","Polygonum erectum",0.963487133765521
"615","Polygonum ramosissimum",1.98522382803155
"618","Polypogon monspeliensis",2.95004239043392
"619","Populus balsamifera",0.290808482730301
"620","Populus deltoides",2.12438968884444
"621","Populus tremuloides",0.233024870294276
"622","Potamogeton alpinus",1.3579316750546
"623","Potamogeton amplifolius",3.02325274608939
"624","Potamogeton foliosus",1.89436731953616
"625","Potamogeton friesii",0.330085144990717
"626","Potamogeton gramineus",0.801615605875329
"627","Potamogeton natans",0.996301875368357
"629","Potamogeton obtusifolius",1.80204745883689
"630","Potamogeton praelongus",0.964884571160116
"631","Potamogeton pusillus",0.479323158127968
"632","Potamogeton richardsonii",0.255333661700553
