Geographic code,Geo_name,Geo_type,Province,"Geographic code, Census division","Geographic code, Census metropolitan area / census agglomeration",Pop_2016,"Incompletely enumerated Indian reserves and Indian settlements, 2016",Pop_2011,2011 adjusted population flag,"Incompletely enumerated Indian reserves and Indian settlements, 2011",2011 population review or received update flag,Pop_percent_change,Total private dwellings 2016,Total private dwellings 2011,2011 adjusted total private dwellings flag,Total private dwellings_percent_change,"Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011",2011 adjusted private dwellings occupied by usual residents flag,"Private dwellings occupied by usual residents, % change",Land area in square kilometres_2016,Population density per square kilometre_2016,"National population rank, 2016","Provincial/territorial population rank, 2016"
4810006,Edberg,Village,Alberta,4810,,151,F,168,F,F,,-10.1,65,70,F,-7.1,61,68,F,-10.3,0.35,426.9,4111,351
4806803,Eden Valley 216,Indian reserve,Alberta,4806,,596,F,587,F,F,,1.5,113,116,F,-2.6,97,106,F,-8.5,17.65,33.8,2752,247
4807052,Edgerton,Village,Alberta,4807,,384,F,317,F,F,,21.1,192,166,F,15.7,177,151,F,17.2,2.04,188,3279,276
4811061,Edmonton,City,Alberta,4811,835,932546,F,812201,F,F,,14.8,387950,348672,F,11.3,360828,324756,F,11.1,685.25,1360.9,5,2
4814024,Edson,Town,Alberta,4814,,8414,F,8475,F,F,,-0.7,3762,3701,F,1.6,3359,3386,F,-0.8,29.72,283.1,472,54
4812016,Elk Point,Town,Alberta,4812,,1452,F,1412,F,F,,2.8,642,619,F,3.7,534,572,F,-6.6,4.91,295.5,1680,169
4808002,Elnora,Village,Alberta,4808,,298,F,313,F,F,,-4.8,160,151,F,6,144,139,F,3.6,1.47,203.2,3575,292
4804006,Empress,Village,Alberta,4804,,135,F,188,F,F,,-28.2,71,73,F,-2.7,58,69,F,-15.9,1.58,85.3,4176,358
4811801,Ermineskin 138,Indian reserve,Alberta,4811,,2457,F,1874,F,F,,31.1,523,382,F,36.9,452,356,F,27,104.46,23.5,1183,138
4819068,Fairview,Town,Alberta,4819,,2998,F,3162,F,F,,-5.2,1363,1322,F,3.1,1251,1266,F,-1.2,11.36,264,1018,122
4819066,Fairview No. 136,Municipal district,Alberta,4819,,1604,F,1673,F,F,,-4.1,683,640,F,6.7,620,614,F,1,1387.58,1.2,1569,163
4819046,Falher,Town,Alberta,4819,,1047,F,1075,F,F,,-2.6,482,522,F,-7.7,450,497,F,-9.5,2.78,376.4,2033,193
4810004,Ferintosh,Village,Alberta,4810,,202,F,181,F,F,,11.6,103,96,F,7.3,97,85,F,14.1,0.66,305.7,3913,323
4807031,Flagstaff County,Municipal district,Alberta,4807,,3738,F,3591,T,F,D,4.1,1532,1511,T,1.4,1380,1338,T,3.1,4067.58,0.9,876,104
4806001,Foothills No. 31,Municipal district,Alberta,4806,,22766,F,21248,T,F,D,7.1,8689,8395,T,3.5,8156,7637,T,6.8,3636.8,6.3,183,18
4801009,Foremost,Village,Alberta,4801,,541,F,526,F,F,,2.9,257,246,F,4.5,229,218,F,5,2.16,250.3,2869,252
4807036,Forestburg,Village,Alberta,4807,,875,F,831,F,F,,5.3,404,380,F,6.3,360,348,F,3.4,2.73,320.1,2264,213
4816859,Fort Mackay,Indian Settlement,Alberta,4816,860,742,F,562,F,F,,32,303,235,F,28.9,250,201,F,24.4,9.53,77.9,2468,230
4803019,Fort Macleod,Town,Alberta,4803,,2967,F,3117,F,F,,-4.8,1426,1350,F,5.6,1226,1244,F,-1.4,23.41,126.8,1027,124
4811056,Fort Saskatchewan,City,Alberta,4811,835,24149,F,19051,F,F,,26.8,9939,8109,F,22.6,9261,7333,F,26.3,48.18,501.3,177,17
4817859,Fort Vermilion 173B,Indian reserve,Alberta,4817,,96,F,97,F,F,,-1,25,22,F,13.6,23,20,F,15,0.62,154.3,4323,374
4801008,Forty Mile County No. 8,Municipal district,Alberta,4801,,3581,F,3336,F,F,,7.3,968,965,F,0.3,865,819,F,5.6,7249.31,0.5,902,109
4818002,Fox Creek,Town,Alberta,4818,,1971,F,1969,F,F,,0.1,1054,980,F,7.6,775,773,F,0.3,12.36,159.4,1364,152
4817835,Fox Lake 162,Indian reserve,Alberta,4817,,2032,F,1875,F,F,,8.4,351,328,F,7,303,300,F,1,96.44,21.1,1333,148
4807022,Gadsby,Village,Alberta,4807,,40,F,25,F,F,,60,25,18,F,38.9,24,14,F,71.4,0.75,53.6,4593,397
4815027,Ghost Lake,Summer village,Alberta,4815,,82,F,81,F,F,,1.2,87,69,F,26.1,36,35,F,2.9,0.67,122.6,4405,381
4811064,Gibbons,Town,Alberta,4811,835,3159,F,3030,F,F,,4.3,1223,1111,F,10.1,1136,1075,F,5.7,7.5,421.3,985,119
4819048,Girouxville,Village,Alberta,4819,,219,F,266,F,F,,-17.7,130,147,F,-11.6,107,129,F,-17.1,0.67,325.1,3849,311
4812012,Glendon,Village,Alberta,4812,,493,F,486,F,F,,1.4,234,229,F,2.2,208,204,F,2,1.99,247.3,2983,260
4803006,Glenwood,Village,Alberta,4803,,316,F,287,F,F,,10.1,119,113,F,5.3,107,99,F,8.1,1.37,229.9,3505,289
4811023,Golden Days,Summer village,Alberta,4811,835,160,F,141,F,F,,13.5,293,284,F,3.2,78,74,F,5.4,2.28,70.3,4068,342
4818005,Grande Cache,Town,Alberta,4818,,3571,F,4319,F,F,,-17.3,1759,1752,F,0.4,1296,1563,F,-17.1,34.97,102.1,905,110
4819012,Grande Prairie,City,Alberta,4819,850,63166,F,55655,T,F,D,13.5,26204,23243,T,12.7,23676,21428,T,10.5,132.73,475.9,88,9
4819006,Grande Prairie County No. 1,Municipal district,Alberta,4819,,22303,F,19724,T,F,D,13.1,8291,7356,T,12.7,7684,6947,T,10.6,5802.21,3.8,187,19
4811004,Grandview,Summer village,Alberta,4811,,114,F,108,F,F,,5.6,210,205,F,2.4,57,56,F,1.8,0.79,144.3,4256,365
4803021,Granum,Town,Alberta,4803,,406,F,447,F,F,,-9.2,206,220,F,-6.4,199,205,F,-2.9,1.91,212.1,3216,274
4818015,Greenview No. 16,Municipal district,Alberta,4818,,5583,F,5299,F,F,,5.4,2473,2197,F,12.6,2067,1970,F,4.9,32984.24,0.2,664,83
4816821,Gregoire Lake 176,Indian reserve,Alberta,4816,860,191,F,274,F,F,,-30.3,74,99,F,-25.3,62,90,F,-31.1,22.2,8.6,3961,327
4816822,Gregoire Lake 176A,Indian reserve,Alberta,4816,860,130,F,0,F,F,,,49,0,F,,43,0,F,,1.12,115.8,4194,360
4819074,Grimshaw,Town,Alberta,4819,,2718,F,2515,F,F,,8.1,1194,1093,F,9.2,1061,984,F,7.8,7.09,383.4,1096,129
4808028,Gull Lake,Summer village,Alberta,4808,,176,F,122,F,F,,44.3,244,80,F,205,79,56,F,41.1,0.7,251.7,4015,336
4808025,Half Moon Bay,Summer village,Alberta,4808,,42,F,38,F,F,,10.5,56,62,F,-9.7,20,16,F,25,0.11,386.4,4583,396
4807016,Halkirk,Village,Alberta,4807,,112,F,121,F,F,,-7.4,56,70,F,-20,55,57,F,-3.5,0.61,184.1,4263,366
4804011,Hanna,Town,Alberta,4804,,2559,F,2673,F,F,,-4.3,1246,1317,F,-5.4,1149,1208,F,-4.9,8.81,290.6,1143,135
4807048,Hardisty,Town,Alberta,4807,,554,F,639,F,F,,-13.3,401,366,F,9.6,254,263,F,-3.4,5.13,108,2840,251
4817845,Hay Lake 209,Indian reserve,Alberta,4817,,883,F,949,F,F,,-7,277,328,F,-15.5,247,280,F,-11.8,103.57,8.5,2256,212
