Protocol,ABMI.Site,Year,Latitude,Longitude,climatic_moisture_defecit,FFP,MAP,MAT,summer_precip
Wetland,W-1309,"2,013",52.01117,-111.47166,306.6406346,113,388,2.5,262
Wetland,W-1312,"2,016",51.90989,-110.56259,350.3839323,117,367.466134,2.685006629,244.466134
Wetland,W-1314,"2,016",51.81288,-110.02056,358.4965747,117,344,2.7,238
Wetland,W-1326,"2,014",52.22186,-114.97753,96.72245,95,591.8230582,2.4,415.8644559
Wetland,W-1327,"2,014",52.22738,-114.69603,123.7639584,101,567.7712951,2.7,399.7018197
Wetland,W-1337,"2,013",51.88016,-111.74126,311.0346866,113,390.0649909,2.8,265
Wetland,W-1339,"2,013",51.80424,-111.27814,350.6062853,111.3937147,352.9126149,2.6,240.3937147
Wetland,W-1342,"2,013",51.70112,-110.42244,362.3780872,117,339.2322304,2.8,233
Wetland,W-1343,"2,013",51.64683,-110.09978,379.1773154,116,331,2.8,226.0667432
Wetland,W-135,"2,012",59.29296,-116.65461,172.0907666,97,395,-2.5,239
Wetland,W-1353,"2,008",52.01874,-115.00626,72.7329888,83,601.6107502,2.1,421.5964593
Wetland,W-136,"2,012",59.24817,-116.39161,148.4377157,93.87060664,405.5622843,-2.8,244.6128376
Wetland,W-1361,"2,014",51.82364,-112.77427,311.9376071,113,395,3.1,273
Wetland,W-1364,"2,012",51.69033,-111.87515,318.4882383,113,382,2.9,256.9861464
Wetland,W-1366,"2,014",51.65551,-111.27998,376.6180981,111,323.0741075,2.6,230
Wetland,W-1368,"2,015",51.57006,-110.75624,374.0133786,116,335.4062146,2.9,230
Wetland,W-1378,"2,008",51.84416,-115.04575,45.2054896,76.80574417,613.8319748,1.679700063,425.0087435
Wetland,W-1379,"2,008",51.84659,-114.76376,111.9572814,88,521.1795797,2.4,390.2756569
Wetland,W-1386,"2,014",51.65463,-112.76031,326.0856215,113.9999857,382.9143785,3.3,264.0000143
Wetland,W-1387,"2,012",51.57246,-112.4742,312.9334291,111,381,3.2,264
Wetland,W-1388,"2,012",51.5336,-112.2374,274.0140283,106.1075198,399.1542656,2.9,272.1542656
Wetland,W-1389,"2,012",51.52292,-111.88457,331,115,380,3,254
Wetland,W-1390,"2,014",51.51823,-111.64332,349.729677,114,354.6254459,3,243.1115501
Wetland,W-1391,"2,014",51.47415,-111.32115,385.7499422,112,317.1250289,2.9,228
Wetland,W-1392,"2,014",51.38414,-111.07787,385.4860756,114,320,3,222
Wetland,W-1393,"2,015",51.39843,-110.77002,382.972655,116,322.0715093,3.097265502,222.0715093
Wetland,W-1402,"2,008",51.70927,-115.12063,83.06132749,79.70643282,585.0497902,1.585079614,370.5837942
Wetland,W-1403,"2,008",51.65641,-114.79833,99.68272964,76.13968718,545.2061822,2.054359944,388.901135
Wetland,W-1404,"2,008",51.62884,-114.55568,148.8845898,89,497.7273446,2.6,366.1912858
Wetland,W-1407,"2,013",51.54864,-113.70693,273.0645954,108,430,3.3,289.4843943
Wetland,W-1409,"2,014",51.48225,-113.12115,343.0138563,114.9276401,383,3.592764009,261
Wetland,W-1412,"2,012",51.39874,-112.25328,309.8064002,109.9466246,386.2060519,3.2,265.2831937
Wetland,W-1413,"2,012",51.33112,-111.98505,349.1310864,114.1310864,357.998714,3.3,242.998714
Wetland,W-1416,"2,014",51.21452,-111.13677,397.8912333,115,301.422229,3.2,211
Wetland,W-1418,"2,015",51.15272,-110.54915,379.5498302,122,317.6255885,3.6,225.1402089
Wetland,W-1428,"2,010",51.45927,-114.29638,191.0836142,94,480.9158948,2.999983634,344.9157312
Wetland,W-1429,"2,010",51.37336,-114.02216,208.7023946,99,469.1775604,3.137092927,333.1775604
Wetland,W-1429,"2,016",51.37336,-114.02216,208.7023946,99,469.1775604,3.137092927,333.1775604
Wetland,W-1433,"2,014",51.31144,-112.89843,355.9987839,114.9999065,375.9580503,3.699990646,258.9580503
Wetland,W-1434,"2,008",51.23066,-112.63444,313.0550329,109,388.4315484,3.393949699,264.4315484
Wetland,W-1434,"2,015",51.23066,-112.63444,313.0550329,109,388.4315484,3.393949699,264.4315484
Wetland,W-1436,"2,015",51.15812,-112.06023,386.5827158,118,342.8334873,3.5,232
Wetland,W-1440,"2,012",51.00862,-110.86984,420.1263227,118,294.3359468,3.5,205
Wetland,W-1450,"2,010",51.24296,-114.37545,211.3857902,88.40995767,461.9831126,2.839307025,313.3970982
Wetland,W-1450,"2,016",51.24296,-114.37545,211.3857902,88.40995767,461.9831126,2.839307025,313.3970982
Wetland,W-1453,"2,014",51.14209,-113.50362,309.899623,110,404,3.6,268
Wetland,W-1456,"2,008",51.07617,-112.61873,332.1722997,111,384,3.6,255
Wetland,W-1462,"2,012",50.83058,-110.9912,442.5638398,118,272,3.689905557,188
Wetland,W-1493,"2,009",50.81949,-113.87409,287.4985611,106.0882496,415.1162916,3.7,280
Wetland,W-1493,"2,015",50.81949,-113.87409,287.4985611,106.0882496,415.1162916,3.7,280
Wetland,W-1495,"2,012",50.7582,-113.32101,343.4936282,112,362.4926504,3.999881995,252.99882
Wetland,W-1496,"2,012",50.74616,-113.01305,344.9460082,115,385.0822726,4,252.0539918
Wetland,W-1497,"2,013",50.71952,-112.74209,346.064282,116,391.9711784,4,252.9711784
Wetland,W-1503,"2,014",50.4866,-111.09115,440.8430519,121,305,4.2,199
Wetland,W-1511,"2,015",50.69673,-114.2478,178.5022861,90.12451121,528.7254572,2.946635134,329.5336487
Wetland,W-1512,"2,015",50.63562,-113.94629,282.8955367,102,431.3413447,3.7,281.4660688
Wetland,W-1513,"2,012",50.60032,-113.659,313,107,407.0001411,3.959511793,268
Wetland,W-1514,"2,012",50.61496,-113.39329,331.9768068,109.4797499,386,4.028477982,256
Wetland,W-1529,"2,009",50.55104,-114.46989,132.791217,75.29932511,637.1519777,2.19857987,348.3824147
Wetland,W-1530,"2,009",50.53995,-114.20621,204.7502912,87.82636294,530.4550412,3.1829525,329.1140912
Wetland,W-1535,"2,013",50.36478,-112.81759,351.952659,117,396.9680047,4.4,251
Wetland,W-1536,"2,013",50.34908,-112.58106,378.4144925,118,377.8493035,4.4,238.8493035
Wetland,W-1544,"2,007",50.06429,-110.39987,437.0498846,123,326,4.6,206
Wetland,W-1545,"2,007",50.01861,-110.14208,435.0964287,121,330,4.400401755,206
Wetland,W-1551,"2,016",50.2294,-113.43517,339,114,405,4.5,259
Wetland,W-1553,"2,014",50.15503,-112.91512,353.8780636,114.9386327,403,4.5,246
Wetland,W-1554,"2,014",50.15328,-112.67485,391.250535,120.1557725,384,4.76516999,238
Wetland,W-1556,"2,009",50.07165,-112.11253,430.8856039,119.2857788,333.3784096,4.7,208
Wetland,W-1556,"2,015",50.07165,-112.11253,430.8856039,119.2857788,333.3784096,4.7,208
Wetland,W-1559,"2,011",49.96053,-111.21866,434.913291,125,336,4.9,210
Wetland,W-1563,"2,012",49.83569,-110.19779,416.5244589,111,352.0731271,4.1,214.0731271
Wetland,W-1567,"2,009",50.08177,-113.78947,276.9093456,102.4528113,460.9999782,3.948442862,273.7735835
Wetland,W-1568,"2,009",50.05959,-113.4661,335.1788637,113,415.3578275,4.6,258
Wetland,W-1571,"2,014",49.97577,-112.66685,381.7118651,120,386.2404,4.8,237.2428088
Wetland,W-1579,"2,012",49.67499,-110.57044,400.2344634,105.0393941,364.0393941,4.2,223.0768869
Wetland,W-1584,"2,009",49.94407,-113.86014,237.4655485,95.42213916,501.5824129,3.365901078,276.1704946
Wetland,W-1585,"2,016",49.91553,-113.54253,334.5621021,114,425.5621021,4.8,260
Wetland,W-1588,"2,014",49.81095,-112.73318,373.0937443,120,391,4.998287772,242
Wetland,W-1591,"2,015",49.69278,-111.96044,412,121,363.4510233,4.9,217
Wetland,W-1594,"2,011",49.60482,-111.18185,437.7787812,124,345.1348604,4.991364164,210
Wetland,W-1595,"2,016",49.56297,-110.83182,436.2722968,118.0059886,338.9940114,4.8,211.9940114
Wetland,W-16,"2,012",59.73768,-111.45921,195.9495776,98,357,-2.9,213
Wetland,W-1601,"2,007",49.73746,-113.82578,220.1285693,94.37125735,552.0807326,3.292851165,288.6760743
Wetland,W-1601,"2,015",49.73746,-113.82578,220.1285693,94.37125735,552.0807326,3.292851165,288.6760743
Wetland,W-1602,"2,007",49.68537,-113.60812,324.1272163,114,454.8727837,4.9,266.0015128
Wetland,W-1603,"2,007",49.67569,-113.35452,339.8812609,117,426.1632359,5.1,261
Wetland,W-1608,"2,012",49.50061,-111.9854,410,119,364,5,224
